Instance ID,Lambda,numSKU,numBinsPerLocation,numReplicate,Solver,numVariables,numConstraints,ConfigTimeLimit,ConfigCores,ConfigCeilingRounding,ConfigDebugInfo,ConfigMIPFeasibility,End
Instance1XS50_2_10,2,50,10,1,VGS(MIP),8537,12721,3600,MT,YCR,NDI,NF,
Instance1XS50_2_10,2,50,10,1,SCP,100,11,3600,MT,YCR,NDI,NF,
Instance2XS50_2_10,2,50,10,2,VGS(MIP),8529,12788,3600,MT,YCR,NDI,NF,
Instance2XS50_2_10,2,50,10,2,SCP,100,11,3600,MT,YCR,NDI,NF,
Instance3XS50_2_10,2,50,10,3,VGS(MIP),8527,12733,3600,MT,YCR,NDI,NF,
Instance3XS50_2_10,2,50,10,3,SCP,100,11,3600,MT,YCR,NDI,NF,
Instance4XS50_2_10,2,50,10,4,VGS(MIP),8524,12961,3600,MT,YCR,NDI,NF,
Instance4XS50_2_10,2,50,10,4,SCP,100,11,3600,MT,YCR,NDI,NF,
Instance5XS50_2_10,2,50,10,5,VGS(MIP),8521,12780,3600,MT,YCR,NDI,NF,
Instance5XS50_2_10,2,50,10,5,SCP,100,11,3600,MT,YCR,NDI,NF,
Instance1XS50_3_10,3,50,10,1,VGS(MIP),11535,12905,3600,MT,YCR,NDI,NF,
Instance1XS50_3_10,3,50,10,1,SCP,100,17,3600,MT,YCR,NDI,NF,
Instance2XS50_3_10,3,50,10,2,VGS(MIP),11528,12792,3600,MT,YCR,NDI,NF,
Instance2XS50_3_10,3,50,10,2,SCP,100,17,3600,MT,YCR,NDI,NF,
Instance3XS50_3_10,3,50,10,3,VGS(MIP),11531,12765,3600,MT,YCR,NDI,NF,
Instance3XS50_3_10,3,50,10,3,SCP,100,17,3600,MT,YCR,NDI,NF,
Instance4XS50_3_10,3,50,10,4,VGS(MIP),11550,12746,3600,MT,YCR,NDI,NF,
Instance4XS50_3_10,3,50,10,4,SCP,100,17,3600,MT,YCR,NDI,NF,
Instance5XS50_3_10,3,50,10,5,VGS(MIP),11534,12742,3600,MT,YCR,NDI,NF,
Instance5XS50_3_10,3,50,10,5,SCP,100,17,3600,MT,YCR,NDI,NF,
Instance1XS50_4_10,4,50,10,1,VGS(MIP),13530,12660,3600,MT,YCR,NDI,NF,
Instance1XS50_4_10,4,50,10,1,SCP,100,21,3600,MT,YCR,NDI,NF,
Instance2XS50_4_10,4,50,10,2,VGS(MIP),13520,12687,3600,MT,YCR,NDI,NF,
Instance2XS50_4_10,4,50,10,2,SCP,100,21,3600,MT,YCR,NDI,NF,
Instance3XS50_4_10,4,50,10,3,VGS(MIP),13535,12837,3600,MT,YCR,NDI,NF,
Instance3XS50_4_10,4,50,10,3,SCP,100,21,3600,MT,YCR,NDI,NF,
Instance4XS50_4_10,4,50,10,4,VGS(MIP),13537,12952,3600,MT,YCR,NDI,NF,
Instance4XS50_4_10,4,50,10,4,SCP,100,21,3600,MT,YCR,NDI,NF,
Instance5XS50_4_10,4,50,10,5,VGS(MIP),13520,12747,3600,MT,YCR,NDI,NF,
Instance5XS50_4_10,4,50,10,5,SCP,100,21,3600,MT,YCR,NDI,NF,
Instance1XS100_2_20,2,100,20,1,VGS(MIP),23569,15181,3600,MT,YCR,NDI,NF,
Instance1XS100_2_20,2,100,20,1,SCP,200,11,3600,MT,YCR,NDI,NF,
Instance2XS100_2_20,2,100,20,2,VGS(MIP),23567,15251,3600,MT,YCR,NDI,NF,
Instance2XS100_2_20,2,100,20,2,SCP,200,11,3600,MT,YCR,NDI,NF,
Instance3XS100_2_20,2,100,20,3,VGS(MIP),23566,15206,3600,MT,YCR,NDI,NF,
Instance3XS100_2_20,2,100,20,3,SCP,200,11,3600,MT,YCR,NDI,NF,
Instance4XS100_2_20,2,100,20,4,VGS(MIP),23557,15245,3600,MT,YCR,NDI,NF,
Instance4XS100_2_20,2,100,20,4,SCP,200,11,3600,MT,YCR,NDI,NF,
Instance5XS100_2_20,2,100,20,5,VGS(MIP),23570,15275,3600,MT,YCR,NDI,NF,
Instance5XS100_2_20,2,100,20,5,SCP,200,11,3600,MT,YCR,NDI,NF,
Instance1XS100_3_20,3,100,20,1,VGS(MIP),35558,15250,3600,MT,YCR,NDI,NF,
Instance1XS100_3_20,3,100,20,1,SCP,200,17,3600,MT,YCR,NDI,NF,
Instance2XS100_3_20,3,100,20,2,VGS(MIP),35576,15234,3600,MT,YCR,NDI,NF,
Instance2XS100_3_20,3,100,20,2,SCP,200,17,3600,MT,YCR,NDI,NF,
Instance3XS100_3_20,3,100,20,3,VGS(MIP),35555,15192,3600,MT,YCR,NDI,NF,
Instance3XS100_3_20,3,100,20,3,SCP,200,17,3600,MT,YCR,NDI,NF,
Instance4XS100_3_20,3,100,20,4,VGS(MIP),35570,15328,3600,MT,YCR,NDI,NF,
Instance4XS100_3_20,3,100,20,4,SCP,200,17,3600,MT,YCR,NDI,NF,
Instance5XS100_3_20,3,100,20,5,VGS(MIP),35555,15108,3600,MT,YCR,NDI,NF,
Instance5XS100_3_20,3,100,20,5,SCP,200,17,3600,MT,YCR,NDI,NF,
Instance1XS100_4_20,4,100,20,1,VGS(MIP),43572,15374,3600,MT,YCR,NDI,NF,
Instance1XS100_4_20,4,100,20,1,SCP,200,21,3600,MT,YCR,NDI,NF,
Instance2XS100_4_20,4,100,20,2,VGS(MIP),43558,15016,3600,MT,YCR,NDI,NF,
Instance2XS100_4_20,4,100,20,2,SCP,200,21,3600,MT,YCR,NDI,NF,
Instance3XS100_4_20,4,100,20,3,VGS(MIP),43565,15322,3600,MT,YCR,NDI,NF,
Instance3XS100_4_20,4,100,20,3,SCP,200,21,3600,MT,YCR,NDI,NF,
Instance4XS100_4_20,4,100,20,4,VGS(MIP),43562,15282,3600,MT,YCR,NDI,NF,
Instance4XS100_4_20,4,100,20,4,SCP,200,21,3600,MT,YCR,NDI,NF,
Instance5XS100_4_20,4,100,20,5,VGS(MIP),43562,15126,3600,MT,YCR,NDI,NF,
Instance5XS100_4_20,4,100,20,5,SCP,200,21,3600,MT,YCR,NDI,NF,
Instance1XS200_2_20,2,200,20,1,VGS(MIP),83580,17650,3600,MT,YCR,NDI,NF,
Instance1XS200_2_20,2,200,20,1,SCP,400,21,3600,MT,YCR,NDI,NF,
Instance2XS200_2_20,2,200,20,2,VGS(MIP),83577,17680,3600,MT,YCR,NDI,NF,
Instance2XS200_2_20,2,200,20,2,SCP,400,21,3600,MT,YCR,NDI,NF,
Instance3XS200_2_20,2,200,20,3,VGS(MIP),83577,17822,3600,MT,YCR,NDI,NF,
Instance3XS200_2_20,2,200,20,3,SCP,400,21,3600,MT,YCR,NDI,NF,
Instance4XS200_2_20,2,200,20,4,VGS(MIP),83580,17963,3600,MT,YCR,NDI,NF,
Instance4XS200_2_20,2,200,20,4,SCP,400,21,3600,MT,YCR,NDI,NF,
Instance5XS200_2_20,2,200,20,5,VGS(MIP),83585,17875,3600,MT,YCR,NDI,NF,
Instance5XS200_2_20,2,200,20,5,SCP,400,21,3600,MT,YCR,NDI,NF,
Instance1XS200_3_20,3,200,20,1,VGS(MIP),131579,17835,3600,MT,YCR,NDI,NF,
Instance1XS200_3_20,3,200,20,1,SCP,400,33,3600,MT,YCR,NDI,NF,
Instance2XS200_3_20,3,200,20,2,VGS(MIP),131586,17946,3600,MT,YCR,NDI,NF,
Instance2XS200_3_20,3,200,20,2,SCP,400,33,3600,MT,YCR,NDI,NF,
Instance3XS200_3_20,3,200,20,3,VGS(MIP),131584,17747,3600,MT,YCR,NDI,NF,
Instance3XS200_3_20,3,200,20,3,SCP,400,33,3600,MT,YCR,NDI,NF,
Instance4XS200_3_20,3,200,20,4,VGS(MIP),131575,17886,3600,MT,YCR,NDI,NF,
Instance4XS200_3_20,3,200,20,4,SCP,400,33,3600,MT,YCR,NDI,NF,
Instance5XS200_3_20,3,200,20,5,VGS(MIP),131582,17874,3600,MT,YCR,NDI,NF,
Instance5XS200_3_20,3,200,20,5,SCP,400,33,3600,MT,YCR,NDI,NF,
Instance1XS200_4_20,4,200,20,1,VGS(MIP),163584,17973,3600,MT,YCR,NDI,NF,
Instance1XS200_4_20,4,200,20,1,SCP,400,41,3600,MT,YCR,NDI,NF,
Instance2XS200_4_20,4,200,20,2,VGS(MIP),163583,18071,3600,MT,YCR,NDI,NF,
Instance2XS200_4_20,4,200,20,2,SCP,400,41,3600,MT,YCR,NDI,NF,
Instance3XS200_4_20,4,200,20,3,VGS(MIP),163581,17793,3600,MT,YCR,NDI,NF,
Instance3XS200_4_20,4,200,20,3,SCP,400,41,3600,MT,YCR,NDI,NF,
Instance4XS200_4_20,4,200,20,4,VGS(MIP),163582,17803,3600,MT,YCR,NDI,NF,
Instance4XS200_4_20,4,200,20,4,SCP,400,41,3600,MT,YCR,NDI,NF,
Instance5XS200_4_20,4,200,20,5,VGS(MIP),163581,17993,3600,MT,YCR,NDI,NF,
Instance5XS200_4_20,4,200,20,5,SCP,400,41,3600,MT,YCR,NDI,NF,
Instance1XS50_2_10,2,50,10,1,HYB,,,3600,MT,YCR,NDI,NF,
Instance1XS50_2_10,2,50,10,1,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance2XS50_2_10,2,50,10,2,HYB,,,3600,MT,YCR,NDI,NF,
Instance2XS50_2_10,2,50,10,2,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance3XS50_2_10,2,50,10,3,HYB,,,3600,MT,YCR,NDI,NF,
Instance3XS50_2_10,2,50,10,3,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance4XS50_2_10,2,50,10,4,HYB,,,3600,MT,YCR,NDI,NF,
Instance4XS50_2_10,2,50,10,4,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance5XS50_2_10,2,50,10,5,HYB,,,3600,MT,YCR,NDI,NF,
Instance5XS50_2_10,2,50,10,5,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance1XS50_3_10,3,50,10,1,HYB,,,3600,MT,YCR,NDI,NF,
Instance1XS50_3_10,3,50,10,1,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance2XS50_3_10,3,50,10,2,HYB,,,3600,MT,YCR,NDI,NF,
Instance2XS50_3_10,3,50,10,2,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance3XS50_3_10,3,50,10,3,HYB,,,3600,MT,YCR,NDI,NF,
Instance3XS50_3_10,3,50,10,3,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance4XS50_3_10,3,50,10,4,HYB,,,3600,MT,YCR,NDI,NF,
Instance4XS50_3_10,3,50,10,4,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance5XS50_3_10,3,50,10,5,HYB,,,3600,MT,YCR,NDI,NF,
Instance5XS50_3_10,3,50,10,5,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance1XS50_4_10,4,50,10,1,HYB,,,3600,MT,YCR,NDI,NF,
Instance1XS50_4_10,4,50,10,1,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance2XS50_4_10,4,50,10,2,HYB,,,3600,MT,YCR,NDI,NF,
Instance2XS50_4_10,4,50,10,2,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance3XS50_4_10,4,50,10,3,HYB,,,3600,MT,YCR,NDI,NF,
Instance3XS50_4_10,4,50,10,3,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance4XS50_4_10,4,50,10,4,HYB,,,3600,MT,YCR,NDI,NF,
Instance4XS50_4_10,4,50,10,4,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance5XS50_4_10,4,50,10,5,HYB,,,3600,MT,YCR,NDI,NF,
Instance5XS50_4_10,4,50,10,5,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance1XS100_2_20,2,100,20,1,HYB,,,3600,MT,YCR,NDI,NF,
Instance1XS100_2_20,2,100,20,1,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance2XS100_2_20,2,100,20,2,HYB,,,3600,MT,YCR,NDI,NF,
Instance2XS100_2_20,2,100,20,2,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance3XS100_2_20,2,100,20,3,HYB,,,3600,MT,YCR,NDI,NF,
Instance3XS100_2_20,2,100,20,3,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance4XS100_2_20,2,100,20,4,HYB,,,3600,MT,YCR,NDI,NF,
Instance4XS100_2_20,2,100,20,4,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance5XS100_2_20,2,100,20,5,HYB,,,3600,MT,YCR,NDI,NF,
Instance5XS100_2_20,2,100,20,5,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance1XS100_3_20,3,100,20,1,HYB,,,3600,MT,YCR,NDI,NF,
Instance1XS100_3_20,3,100,20,1,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance2XS100_3_20,3,100,20,2,HYB,,,3600,MT,YCR,NDI,NF,
Instance2XS100_3_20,3,100,20,2,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance3XS100_3_20,3,100,20,3,HYB,,,3600,MT,YCR,NDI,NF,
Instance3XS100_3_20,3,100,20,3,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance4XS100_3_20,3,100,20,4,HYB,,,3600,MT,YCR,NDI,NF,
Instance4XS100_3_20,3,100,20,4,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance5XS100_3_20,3,100,20,5,HYB,,,3600,MT,YCR,NDI,NF,
Instance5XS100_3_20,3,100,20,5,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance1XS100_4_20,4,100,20,1,HYB,,,3600,MT,YCR,NDI,NF,
Instance1XS100_4_20,4,100,20,1,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance2XS100_4_20,4,100,20,2,HYB,,,3600,MT,YCR,NDI,NF,
Instance2XS100_4_20,4,100,20,2,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance3XS100_4_20,4,100,20,3,HYB,,,3600,MT,YCR,NDI,NF,
Instance3XS100_4_20,4,100,20,3,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance4XS100_4_20,4,100,20,4,HYB,,,3600,MT,YCR,NDI,NF,
Instance4XS100_4_20,4,100,20,4,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance5XS100_4_20,4,100,20,5,HYB,,,3600,MT,YCR,NDI,NF,
Instance5XS100_4_20,4,100,20,5,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance1XS200_2_20,2,200,20,1,HYB,,,3600,MT,YCR,NDI,NF,
Instance1XS200_2_20,2,200,20,1,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance2XS200_2_20,2,200,20,2,HYB,,,3600,MT,YCR,NDI,NF,
Instance2XS200_2_20,2,200,20,2,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance3XS200_2_20,2,200,20,3,HYB,,,3600,MT,YCR,NDI,NF,
Instance3XS200_2_20,2,200,20,3,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance4XS200_2_20,2,200,20,4,HYB,,,3600,MT,YCR,NDI,NF,
Instance4XS200_2_20,2,200,20,4,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance5XS200_2_20,2,200,20,5,HYB,,,3600,MT,YCR,NDI,NF,
Instance5XS200_2_20,2,200,20,5,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance1XS200_3_20,3,200,20,1,HYB,,,3600,MT,YCR,NDI,NF,
Instance1XS200_3_20,3,200,20,1,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance2XS200_3_20,3,200,20,2,HYB,,,3600,MT,YCR,NDI,NF,
Instance2XS200_3_20,3,200,20,2,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance3XS200_3_20,3,200,20,3,HYB,,,3600,MT,YCR,NDI,NF,
Instance3XS200_3_20,3,200,20,3,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance4XS200_3_20,3,200,20,4,HYB,,,3600,MT,YCR,NDI,NF,
Instance4XS200_3_20,3,200,20,4,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance5XS200_3_20,3,200,20,5,HYB,,,3600,MT,YCR,NDI,NF,
Instance5XS200_3_20,3,200,20,5,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance1XS200_4_20,4,200,20,1,HYB,,,3600,MT,YCR,NDI,NF,
Instance1XS200_4_20,4,200,20,1,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance2XS200_4_20,4,200,20,2,HYB,,,3600,MT,YCR,NDI,NF,
Instance2XS200_4_20,4,200,20,2,VGS(CP),,,3600,MT,YCR,NDI,NF,
